name,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects,id,fid
Salaam Namaste,158,"['Saif Ali Khan', 'Preity Zinta', 'Arshad Warsi', 'Javed Jaffrey', 'Jugal Hansraj', 'Tania Zaetta', 'Kunal Vijaykar', 'Ravi Khote', 'Kavita Kapoor', 'Maria Goretti', 'Siddhant Ashar', 'Zeke Zidaan', 'Azaan Ali Khan', 'Padam Bhushan', 'Bonnie Hill', 'Leima Popal', 'Nikita Bhatt', 'Deepak Shroff', 'Bidyut Dumra', 'Prakash Sawant', 'Rishi Oberoi', 'Ismail Shaikh', 'Darshan Aulakh', 'Yunus Hussain', 'Jezebel', 'Eknath Chalke', 'Akshai Puri', 'Suhail Farooqi', 'Danish Aslam', 'Siddharth Anand', 'Rashmi Kulkarni', 'Teisha Lowry', 'Jake Ryan', 'Damian Andrews', 'Abhishek Bachchan', 'Danielle Chau', 'Christina Collard', 'Tommy Jarvis', 'Nicola Preece', 'Tara Jade Ross']","['Comedy', 'Drama', 'Romance']",['in'],"['hi', 'en']",Not Rated,,,,6.2,6261.0,09 Sep 2005 (India),Salaam Namaste,Siddharth Anand,Siddharth Anand,,Padam Bhushan,Aditya Chopra,Films & Casting Temple Pvt. Ltd. Sydney,Yash Raj Films,Vishal Dadlani,Ritesh Soni,Sunil Patel,,Danish Aslam,Ritesh Aggarwal,tt0456165,456165.0
Chaos,106,"['Jason Statham', 'Ryan Phillippe', 'Wesley Snipes', 'Henry Czerny', 'Justine Waddell', 'Nicholas Lea', 'Jessica Steen', 'Rob LaBelle', 'John Cassini', 'Damon Johnson', 'Paul Perri', 'Keegan Connor Tracy', 'Natassia Malthe', 'Ty Olsson', 'Terry Chen', 'Mike Dopud', 'Michasha Armstrong', 'Kim Howey', 'Gaston Morrison', 'Garvin Cross', 'Kimani Ray Smith', 'Kirsten Alter', 'Michael Adamthwaite', 'Nigel Vonas', 'Bill Mondy', 'Rhys Lloyd', 'Susan Astley', 'Darcy Laurie', 'Rob Court', 'Kristina Agosti', 'Emy Aneke', 'Iris Paluly', 'James Ashcroft', 'Fulvio Cecere', 'Mike Mitchell', 'Pascale Hutton', 'Nicolette Bujdos', 'Tiara Sorensen', 'Angelique Naude', 'Aaron Douglas']","['Action', 'Crime', 'Drama', 'Thriller']",['ca'],['en'],R,12500000.0,,,6.5,49502.0,15 Dec 2005 (United Arab Emirates),Chaos,Tony Giglio,Tony Giglio,,David Bergstein,Steven Chasman,Mobius International,Chaotic Productions,Trevor Jones,Sean Barton,Richard Greatrex,Terry Ewasiuk,Andy Armstrong,Andrea Baracca,tt0402910,402910.0
The Secret Life of Words,115,"['Sarah Polley', 'Tim Robbins', 'Sverre Anker Ousdal', 'Javier Cámara', 'Danny Cunningham', 'Dean Lennox Kelly', 'Daniel Mays', 'Emmanuel Idowu', 'Eddie Marsan', 'Steven Mackintosh', 'Julie Christie', 'Reg Wilson', 'Leonor Watling', 'Daphne Brown', 'Muriel Hobson', 'Joshua Miligan', 'Sheelagh Smith', 'Nina Marléne', 'Peter Wight']","['Drama', 'Romance']","['es', 'ie']","['en', 'da']",Not Rated,5000000.0,,5612659.0,7.5,11507.0,21 Oct 2005 (Spain),The Secret Life of Words,Isabel Coixet,Isabel Coixet,,Agustín Almodóvar,Pedro Almodóvar,El Deseo,Hotshot Films,,Irene Blecua,Jean-Claude Larrieu,,Víctor Cuadrado,Félix Bergés,tt0430576,430576.0
Ripley Under Ground,101,"['Barry Pepper', 'Jacinda Barrett', 'Ian Hart', 'Claire Forlani', 'Alan Cumming', 'Tom Wilkinson', 'François Marthouret', 'Douglas Henshall', 'Willem Dafoe', 'Peter Serafinowicz', 'Frederique Michelle', 'Shelley Conn', 'Dinah Stabb', 'Simon Callow', 'Mika Simmons', 'Ifan Meredith', 'Nicolas Chagrin', 'Ross Boatman', 'Jonathan Benson', 'Daniel Jude Gennis', 'Francis Pindar']","['Crime', 'Drama', 'Thriller']","['de', 'fr', 'gb', 'im']","['en', 'fr']",,,,,6.0,2245.0,31 Oct 2007 (Philippines),Ripley Under Ground,Roger Spottiswoode,Patricia Highsmith,,Steve Christian,Antoine de Clermont-Tonnerre,Cinerenta Medienbeteiligungs KG,Isle of Man Film,Jeff Danna,Michel Arcand,Paul Sarossy,,Jonathan Benson,Rus Wetherell,tt0219171,219171.0
Zerophilia,90,"['Taylor Handley', 'Dustin Seavey', 'Alison Folland', 'Kyle Schmid', 'Rebecca Mozo', 'Adam Zolotin', 'Gina Bellman', 'Chris Meyer', 'Marieh Delfino', 'Rick Stear', 'Kelly LeBrock']","['Comedy', 'Romance']",['us'],['en'],,450000.0,"$1,028, 27 Oct 2006",,6.1,2194.0,,Zerophilia,Martin Curland,Martin Curland,,Michael Bales,Jay Whitney Brown,Microangelo Entertainment,Scrambled Eggs Productions,Kevin McDaniels,John Randle,Graham Futerfas,Lia Thompson Roldan,Tyler Benjamin,Adam Fanton,tt0421090,421090.0
The Campus,,"['Madhu Warrier', 'Eva Pavithran', 'Kalasala Babu', 'Nandu', 'Innocent', 'Kottayam Nazeer', 'Narendra Prasad', 'Saji Soman', 'Augustine', 'Kochu Preman', 'Zeenath', 'Prem Prakash', 'A.K. Lohithadas', 'Sujith Vigneshwar']","['Crime', 'Drama', 'Romance']",['in'],['ml'],,,,,9.7,178.0,2005 (India),The Campus,Mohan,Cheriyan Kalpakavadi,,A. Rajan,,,,M. Jayachandran,P.C. Mohanan,Jibu Jacob,,,,tt1132141,1132141.0
The Puffy Chair,85,"['Mark Duplass', 'Katie Aselton', 'Rhett Wilkins', 'Julie Fischer', 'Larry Duplass', 'Bari Hyman', 'Gerald Finnegan', 'Henry Barendse', 'Cindy Duplass', 'David Parsons', 'Jose Manuel Alvarado', 'Daniel Gonzalez', 'Ora Aselton', 'Bill Leighton', 'Jim Whalen']","['Comedy', 'Drama', 'Romance']",['us'],['en'],R,15000.0,"$26,029, 04 Jun 2006",,6.5,4729.0,27 Apr 2007 (UK),The Puffy Chair,Jay Duplass,Mark Duplass,Jay Duplass,Katie Aselton,Cindy Duplass,Duplass Brothers Productions,,,Jay Deuby,,,,,tt0436689,436689.0
Tristram Shandy: A Cock and Bull Story,94,"['Steve Coogan', 'Rob Brydon', 'Keeley Hawes', 'Shirley Henderson', 'Raymond Waring', 'Conal Murphy', 'Joe Williams', 'Paul Kynman', 'Mark Tandy', 'Mary Healey', 'Dylan Moran', 'Jack Shepherd', 'David Walliams', 'Jeremy Northam', 'Benedict Wong', 'Naomie Harris', 'Claire Keelan', 'Kelly Macdonald', 'Mark Hadfield', 'Elizabeth Berrington', 'Mark Williams', 'Jenny Ogilvie', 'Tony Wilson', 'Justine Mitchell', ""Kieran O'Brien"", 'Roger Allam', 'Ashley Jensen', 'James Fleet', 'Ian Hart', 'Ronni Ancona', 'Greg Wise', 'Paul Rider', 'Stephen Fry', 'Sara Stewart', 'Gillian Anderson', 'Stephen Rodrick', 'Stuart Wilson', 'Rosie Cavaliero', 'Byron Broadbent', 'Damon Caliendo', 'Andy Callaghan', 'Richard Tree', 'Peter Bach', 'Charlie Bluett', 'James Randle', 'Kay Richardson']",['Comedy'],['gb'],['en'],R,,,,6.7,12081.0,20 Jan 2006 (UK),Tristram Shandy: A Cock and Bull Story,Michael Winterbottom,Laurence Sterne,,Jeff Abberley,Julia Blackman,BBC Films,Baby Cow Productions,Edward Nogria,Peter Christelis,Marcel Zyskind,,Jessica Hurles-Laws,Peter Bach,tt0423409,423409.0
Heights,93,"['Chandler Williams', 'Bess Wohl', 'Glenn Close', 'Elizabeth Banks', 'James Marsden', 'Jesse Bradford', 'Daniel Neiden', 'Thomas Lennon', 'Matthew Davis', 'John Light', 'Isabella Rossellini', 'Susan Malick', 'Rachel Siegel', 'Katie Kreisler', 'Philip Tabor', 'Jordi Vilasuso', 'Nat DeWolf', 'Joel de la Fuente', 'Melanie R. Orr', ""Denis O'Hare"", 'Rufus Wainwright', 'Eric Bogosian', 'George Segal', 'Angel Desai', 'Jonathan Walker', 'Regina Schneider', 'Michael Murphy', 'Jane Nichols', 'Andrew Howard', 'Don Fitzgerald', 'Meghan Glennon', 'Winsome Brown', 'Michael Goldstrom', 'Jim Parsons', 'Steve Glenn', 'Alice Tan Ridley', 'Caroline Clay', 'Cindy Adams', 'Alexander Lange', 'Manny Siverio', 'Frank Shattuck', ""D'Vorah Bailey"", 'Jan Ellis', 'Liza Colón-Zayas', 'Aylam Orian', 'Becca Anderson', 'James Babbin', 'Tomm Bauer', 'Khan Baykal', 'Brendan Bradley', 'Daniel Carnevale', 'Aaron Fiore', 'Brian Hyman', 'Sam Masotto', 'Caroline Memnon', 'Ashley Palmer', 'Andrea Bertola Shaw', 'Jason Stogsdill', 'Lorli Villanueva']","['Drama', 'Romance']",['us'],"['en', 'es', 'he']",R,,"$52,885, 19 Jun 2005",,6.9,4460.0,15 Jul 2005 (USA),Heights,Chris Terrio,Amy Fox,,John P. Adams,Paul Bradley,Merchant Ivory Productions,,Ben Butler,Sloane Klevin,Jim Denault,,David Blazina,Luke DiTommaso,tt0382073,382073.0
Pooh's Heffalump Movie,68,"['Jim Cummings', 'John Fiedler', 'Nikita Hopkins', 'Kath Soucie', 'Ken Sansom', 'Peter Cullen', 'Brenda Blethyn', 'Kyle Stanger']","['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Mystery']",['us'],['en'],G,20000000.0,"$5,805,559, 13 Feb 2005",55686944.0,6.4,5869.0,10 Feb 2005 (Hungary),Pooh's Heffalump Movie,Frank Nissen,Brian Hohlfeld,Evan Spiliotopoulos,Yukari Kiso,Jessica Koplos,Walt Disney Pictures,Disneytoon Studios,Joel McNeely,Robert Fisher Jr.,,,Masaki Sugiyama,Traci Balthazor,tt0407121,407121.0
Paradise Now,91,"['Lubna Azabal', 'Hamza Abu-Aiaash', 'Kais Nashif', 'Lutuf Nouasser', 'Ali Suliman', 'Mohammad Bustami', 'Ahmad Fares', 'Waleed On-Allah', 'Asaad Dwikat', 'Imad Saber', 'Mohammad Kosa', 'Amer Hlehel', 'Hiam Abbass', 'Nour Abd El-Hadi', 'Amjad Al-Imlah', 'Dina Titi', 'Yosef Abo Dheir', 'Sadi El-Masri', ""Hana Sha'alan"", 'Nabeel Shaheen', 'Ayman Swedan', 'Jamal Shaheen', 'Hafez Mueen', 'Jamil Sawalmeh', 'Deya Deen Hamaideh', 'Thabet Abu-Zarour', 'Ashraf Barhom', 'Bassam Al-Nubani', 'Mohammad Kaskas', ""Nabeeh Jum'a"", 'Mohammad Arabbas', 'Saed Mayaleh', 'Dirar Suleiman', 'Mohammad Jibreel', 'Wagde Ode', ""Tha'er Abu-Zarour"", 'Olivier Meidinger', 'Salwa Ibrahim', 'Abd Elrahman Thaher', 'Jamel Daher']","['Crime', 'Drama', 'Thriller', 'War']","['ps', 'fr', 'de', 'nl', 'il']","['ar', 'en']",PG-13,,,,7.4,21655.0,07 Sep 2005 (Belgium),Paradise Now,Hany Abu-Assad,Hany Abu-Assad,,Bero Beyer,Muhammed Buqai,Augustus Film,Lama Productions,Jina Sumedi,Sander Vos,Antoine Héberlé,Samir Hawa,Sabina Franke,,tt0445620,445620.0
Factotum,94,"['Matt Dillon', 'Lili Taylor', 'Didier Flamand', 'Fisher Stevens', 'Marisa Tomei', 'Adrienne Shelly', 'Karen Young', 'Thomas Lyons', 'Dean Brewington', 'James Cada', 'James Michael Detmar', 'Kurt Schweickhardt', 'Dee Noah', 'James Noah', 'Michael Egan', 'Terry Hempleman', 'Emily Hynnek', 'Wayne Morton', 'Tony Papenfuss', 'Lana Schwab', 'Sally Wingert', 'Robert Downing Davis', 'Bryan J. Walker', 'Dan Lee Jr.', 'Peter Moore', 'Bruce Bohne', 'Larry Roupe', 'Chris Carlson', ""Stephen D'Ambrose"", 'Emil Herrera', 'Michelle Hutchison', 'Andy Hubbell', 'Martin Marinaro', 'Raye Birk', 'Stephen Pelinski', 'Stanley Kipper', 'Brent Doyle', 'John Paul Gamoke', 'Jim Lichtscheidl', 'Jay Gjernes', 'Clyde Lund', 'Debbie DeLisi', 'George McGuire', 'Brad Madson', 'Gary Tournier', 'Esera Tuaolo', 'John Nadeau', 'Cathi Cooper', 'Carole Samuelson', 'Matthew Feeney', 'Stephanie Allensworth', 'Jim Brockhohn', 'Jimmy Brockhohn', 'Clint Clark', 'Joseph Courtemanche', 'Frank Crandell', 'Christopher Day', 'Chuck Erickson', 'James Lyndon Fairbairn', 'Jon Foss', 'Diane Kelson', 'Punnavith Koy', 'Nels Lennes', 'Shawn McNulty', 'Bryan J. Moss', 'Doua Moua', 'Lisa Pechmiller', 'Geoff Schilz', 'Dan Schlissel', 'Christina Sedlacek', 'Annie Wallick', 'Donny West', 'Jim Westcott']","['Comedy', 'Drama', 'Romance']","['no', 'us', 'de', 'fr', 'it']",['en'],R,1000000.0,,,6.6,13416.0,29 Apr 2005 (Norway),Factotum,Bent Hamer,Charles Bukowski,,Karl Baumgartner,Knud Bjørne-Larsen,Bulbul Films,Canal+,Kristin Asbjørnsen,Pål Gengenbach,John Christian Rosenlund,Sarah Kruchowski,Jason Cooper Hall,Torgeir Busch,tt0417658,417658.0
Drop Dead Sexy,83,"['Jason Lee', 'Crispin Glover', 'Burton Gilliam', 'Xander Berkeley', 'Pruitt Taylor Vince', 'Joseph D. Reitman', 'Steven Chester Prince', 'Suzanna Urszuly', 'Diane Klimaszewski', 'Elaine Klimaszewski', 'Lin Shaye', 'Melissa Keller', 'Mathew Greer', 'Audrey Marie Anderson', 'Amber Heard', 'Brad Dourif', 'David Wilk', 'Frank Ford', 'Patrick Boykin', 'Ryan Brooks', 'Steve Conner', 'Jackson Davis', 'Dave Kraft', 'Kimberly Ann Shafer', 'Michael Sorrells']","['Comedy', 'Crime']",['us'],['en'],R,,,,5.0,2076.0,,Drop Dead Sexy,Michael Philip,Paul Doiron,John Benjamin Martin,Charles Acosta,Geoff Armstrong,Arrival Pictures,Mythos Studios ND,Deborah Lurie,Mark Coffey,Thomas L. Callaway,Randy Huke,Bobby Bastarache,,tt0397401,397401.0
The Great Ecstasy of Robert Carmichael,96,"['Nikki Albon', 'Zoey Campbell', 'Stephanie de Whalley', 'Phil Deguara', 'Aren Devlin', 'Rob Dixon', 'Danny Dyer', 'Sam Gurney', 'Michael Howe', 'Ami Instone', 'Stuart Laing', 'Mick Larkin', 'Lesley Manville', 'Corinna McFarlane', 'Charles Mnene', 'Muriaf Salman', 'Donna Shilling', 'Daniel Spencer', 'Hilary Tones', 'Emma Vance', 'Miranda Wilson', 'Ryan Winsley']","['Crime', 'Drama']",['gb'],['en'],,,,,4.8,1209.0,26 Apr 2006 (France),The Great Ecstasy of Robert Carmichael,Thomas Clay,Thomas Clay,,Peter Allez,Joseph Lang,Boudu Films,Pull Back Camera Ltd.,Jonathan Henry Harvey,David Wigram,Giorgos Arvanitis,,Robert Cannan,Tim Baxter,tt0459387,459387.0
Nine Lives,115,"['Elpidia Carrillo', 'Aomawa Baker', 'Miguel Sandoval', 'Mary Pat Dowhy', 'Andy Umberger', 'K Callan', 'Chelsea Rendon', 'Robin Wright', 'Jason Isaacs', 'Sydney Tamiia Poitier', 'LisaGay Hamilton', 'Holly Hunter', 'Stephen Dillane', 'Daniel Edward Mora', 'Molly Parker', 'Amanda Seyfried', 'Sissy Spacek', 'Ian McShane', 'Amy Brenneman', 'Mary Kay Place', 'Lawrence Pressman', 'Pat Musick', 'Rebecca Tilney', 'William Fichtner', 'Andrew Borba', 'Aidan Quinn', 'Kathy Baker', 'Amy Lippens', 'Joe Mantegna', 'Glenn Close', 'Dakota Fanning', 'Reuben Gutierrez', 'Mar Party']",['Drama'],"['us', 'mx']","['en', 'es', 'ase']",R,500000.0,"$28,387, 16 Oct 2005",,6.7,6371.0,02 Sep 2005 (Italy),Nine Lives,Rodrigo García,Rodrigo García,,Alejandro G. Iñárritu,Amy Lippens,Mockingbird Pictures,Z Films,Edward Shearmur,Andrea Folprecht,Xavier Grobet,,Nicholas Fitzgerald,Thomas Mathai,tt0420015,420015.0
Black,122,"['Amitabh Bachchan', 'Rani Mukerji', 'Shernaz Patel', 'Ayesha Kapoor', 'Dhritiman Chatterjee', 'Sillo Mahava', 'Chippy Gangjee', 'Mahabanoo Mody-Kotwal', 'Salome', 'Kenneth Desai', 'Arif Shah', 'Bomie E. Dotiwala', 'Jeroo Shroff', 'Bomi Kapadia', 'Kamal Adib', 'Zul Vellani', 'Shehnaz Anand', 'Polly Shroff', ""Marriane D'Cruz"", 'Richard Lane Smith', 'Tiara Gandhi', 'Trish Xavier', 'Nandana Sen', 'Ranbir Kapoor']",['Drama'],['in'],"['hi', 'en']",Not Rated,,,14944118.0,8.2,31776.0,04 Feb 2005 (Australia),Black,Sanjay Leela Bhansali,Sanjay Leela Bhansali,,Sanjay Leela Bhansali,Gautami Bhatt,Applause Bhansali Productions,Applause Entertainment Ltd.,Monty Sharma,Bela Segal,Ravi K. Chandran,,Saurash Agarwal,Paresh Acharya,tt0375611,375611.0
Shadowboxer,93,"['Cuba Gooding Jr.', 'Helen Mirren', 'Vanessa Ferlito', 'Macy Gray', 'Joseph Gordon-Levitt', ""Mo'Nique"", 'Stephen Dorff', 'Matt Higgins', 'Tom Pasch', 'Ryan Eric Speise', 'Cullen Clancy', 'Marilyn Yoblick', 'Darnell Williams', 'Marvina Vinique', 'John Panzarella', 'Shaun Brewington', 'Jack Krizmanich', 'Noel Murano', 'Tomy Dunster', 'Angel Oquendo', 'Ryan Sands', 'Stacey Stein', 'Greg Schmidt', 'Wendy Baron', 'Rickey Max Baldwin', 'Maria Soccor', 'Terria Joseph', 'Aunt Dot', 'Lee Daniels', 'Christopher Gladstone Booth', 'Keith Butler', 'Rob L. Tyler', 'Robert Tyler', 'Will Rokos', 'Rosa Evans', 'Patrick McDade', 'Marla Green', 'Jessica Hoskins', 'Ken Harris', 'Chazz Menendez', 'Gerry Lenfest', 'Alex Avant', 'Van Cameron', 'Scott Hatfield', 'Rick Kain', 'Atif Lanier', 'Mark Simms', 'Scott Yannick', 'Julia Yorks']","['Action', 'Crime', 'Drama', 'Thriller']",['us'],['en'],R,,"$103,238, 23 Jul 2006",,5.5,6387.0,14 Jul 2006 (Italy),Shadowboxer,Lee Daniels,Will Rokos,,Marvet Britto,Lisa Cortes,Teton Films,Lee Daniels Entertainment,Mario Grigorov,William Chang,M. David Mullen,Chryss Hionis,Nana Ashong,Tim Bowman,tt0396857,396857.0
Salaam Namaste,158,"['Saif Ali Khan', 'Preity Zinta', 'Arshad Warsi', 'Javed Jaffrey', 'Jugal Hansraj', 'Tania Zaetta', 'Kunal Vijaykar', 'Ravi Khote', 'Kavita Kapoor', 'Maria Goretti', 'Siddhant Ashar', 'Zeke Zidaan', 'Azaan Ali Khan', 'Padam Bhushan', 'Bonnie Hill', 'Leima Popal', 'Nikita Bhatt', 'Deepak Shroff', 'Bidyut Dumra', 'Prakash Sawant', 'Rishi Oberoi', 'Ismail Shaikh', 'Darshan Aulakh', 'Yunus Hussain', 'Jezebel', 'Eknath Chalke', 'Akshai Puri', 'Suhail Farooqi', 'Danish Aslam', 'Siddharth Anand', 'Rashmi Kulkarni', 'Teisha Lowry', 'Jake Ryan', 'Damian Andrews', 'Abhishek Bachchan', 'Danielle Chau', 'Christina Collard', 'Tommy Jarvis', 'Nicola Preece', 'Tara Jade Ross']","['Comedy', 'Drama', 'Romance']",['in'],"['hi', 'en']",Not Rated,,,,6.2,6261.0,09 Sep 2005 (India),Salaam Namaste,Siddharth Anand,Siddharth Anand,,Padam Bhushan,Aditya Chopra,Films & Casting Temple Pvt. Ltd. Sydney,Yash Raj Films,Vishal Dadlani,Ritesh Soni,Sunil Patel,,Danish Aslam,Ritesh Aggarwal,tt0456165,456165.0
Chaos,106,"['Jason Statham', 'Ryan Phillippe', 'Wesley Snipes', 'Henry Czerny', 'Justine Waddell', 'Nicholas Lea', 'Jessica Steen', 'Rob LaBelle', 'John Cassini', 'Damon Johnson', 'Paul Perri', 'Keegan Connor Tracy', 'Natassia Malthe', 'Ty Olsson', 'Terry Chen', 'Mike Dopud', 'Michasha Armstrong', 'Kim Howey', 'Gaston Morrison', 'Garvin Cross', 'Kimani Ray Smith', 'Kirsten Alter', 'Michael Adamthwaite', 'Nigel Vonas', 'Bill Mondy', 'Rhys Lloyd', 'Susan Astley', 'Darcy Laurie', 'Rob Court', 'Kristina Agosti', 'Emy Aneke', 'Iris Paluly', 'James Ashcroft', 'Fulvio Cecere', 'Mike Mitchell', 'Pascale Hutton', 'Nicolette Bujdos', 'Tiara Sorensen', 'Angelique Naude', 'Aaron Douglas']","['Action', 'Crime', 'Drama', 'Thriller']",['ca'],['en'],R,12500000.0,,,6.5,49502.0,15 Dec 2005 (United Arab Emirates),Chaos,Tony Giglio,Tony Giglio,,David Bergstein,Steven Chasman,Mobius International,Chaotic Productions,Trevor Jones,Sean Barton,Richard Greatrex,Terry Ewasiuk,Andy Armstrong,Andrea Baracca,tt0402910,402910.0
The Secret Life of Words,115,"['Sarah Polley', 'Tim Robbins', 'Sverre Anker Ousdal', 'Javier Cámara', 'Danny Cunningham', 'Dean Lennox Kelly', 'Daniel Mays', 'Emmanuel Idowu', 'Eddie Marsan', 'Steven Mackintosh', 'Julie Christie', 'Reg Wilson', 'Leonor Watling', 'Daphne Brown', 'Muriel Hobson', 'Joshua Miligan', 'Sheelagh Smith', 'Nina Marléne', 'Peter Wight']","['Drama', 'Romance']","['es', 'ie']","['en', 'da']",Not Rated,5000000.0,,5612659.0,7.5,11507.0,21 Oct 2005 (Spain),The Secret Life of Words,Isabel Coixet,Isabel Coixet,,Agustín Almodóvar,Pedro Almodóvar,El Deseo,Hotshot Films,,Irene Blecua,Jean-Claude Larrieu,,Víctor Cuadrado,Félix Bergés,tt0430576,430576.0
Ripley Under Ground,101,"['Barry Pepper', 'Jacinda Barrett', 'Ian Hart', 'Claire Forlani', 'Alan Cumming', 'Tom Wilkinson', 'François Marthouret', 'Douglas Henshall', 'Willem Dafoe', 'Peter Serafinowicz', 'Frederique Michelle', 'Shelley Conn', 'Dinah Stabb', 'Simon Callow', 'Mika Simmons', 'Ifan Meredith', 'Nicolas Chagrin', 'Ross Boatman', 'Jonathan Benson', 'Daniel Jude Gennis', 'Francis Pindar']","['Crime', 'Drama', 'Thriller']","['de', 'fr', 'gb', 'im']","['en', 'fr']",,,,,6.0,2245.0,31 Oct 2007 (Philippines),Ripley Under Ground,Roger Spottiswoode,Patricia Highsmith,,Steve Christian,Antoine de Clermont-Tonnerre,Cinerenta Medienbeteiligungs KG,Isle of Man Film,Jeff Danna,Michel Arcand,Paul Sarossy,,Jonathan Benson,Rus Wetherell,tt0219171,219171.0
Zerophilia,90,"['Taylor Handley', 'Dustin Seavey', 'Alison Folland', 'Kyle Schmid', 'Rebecca Mozo', 'Adam Zolotin', 'Gina Bellman', 'Chris Meyer', 'Marieh Delfino', 'Rick Stear', 'Kelly LeBrock']","['Comedy', 'Romance']",['us'],['en'],,450000.0,"$1,028, 27 Oct 2006",,6.1,2194.0,,Zerophilia,Martin Curland,Martin Curland,,Michael Bales,Jay Whitney Brown,Microangelo Entertainment,Scrambled Eggs Productions,Kevin McDaniels,John Randle,Graham Futerfas,Lia Thompson Roldan,Tyler Benjamin,Adam Fanton,tt0421090,421090.0
The Campus,,"['Madhu Warrier', 'Eva Pavithran', 'Kalasala Babu', 'Nandu', 'Innocent', 'Kottayam Nazeer', 'Narendra Prasad', 'Saji Soman', 'Augustine', 'Kochu Preman', 'Zeenath', 'Prem Prakash', 'A.K. Lohithadas', 'Sujith Vigneshwar']","['Crime', 'Drama', 'Romance']",['in'],['ml'],,,,,9.7,178.0,2005 (India),The Campus,Mohan,Cheriyan Kalpakavadi,,A. Rajan,,,,M. Jayachandran,P.C. Mohanan,Jibu Jacob,,,,tt1132141,1132141.0
The Puffy Chair,85,"['Mark Duplass', 'Katie Aselton', 'Rhett Wilkins', 'Julie Fischer', 'Larry Duplass', 'Bari Hyman', 'Gerald Finnegan', 'Henry Barendse', 'Cindy Duplass', 'David Parsons', 'Jose Manuel Alvarado', 'Daniel Gonzalez', 'Ora Aselton', 'Bill Leighton', 'Jim Whalen']","['Comedy', 'Drama', 'Romance']",['us'],['en'],R,15000.0,"$26,029, 04 Jun 2006",,6.5,4729.0,27 Apr 2007 (UK),The Puffy Chair,Jay Duplass,Mark Duplass,Jay Duplass,Katie Aselton,Cindy Duplass,Duplass Brothers Productions,,,Jay Deuby,,,,,tt0436689,436689.0
Tristram Shandy: A Cock and Bull Story,94,"['Steve Coogan', 'Rob Brydon', 'Keeley Hawes', 'Shirley Henderson', 'Raymond Waring', 'Conal Murphy', 'Joe Williams', 'Paul Kynman', 'Mark Tandy', 'Mary Healey', 'Dylan Moran', 'Jack Shepherd', 'David Walliams', 'Jeremy Northam', 'Benedict Wong', 'Naomie Harris', 'Claire Keelan', 'Kelly Macdonald', 'Mark Hadfield', 'Elizabeth Berrington', 'Mark Williams', 'Jenny Ogilvie', 'Tony Wilson', 'Justine Mitchell', ""Kieran O'Brien"", 'Roger Allam', 'Ashley Jensen', 'James Fleet', 'Ian Hart', 'Ronni Ancona', 'Greg Wise', 'Paul Rider', 'Stephen Fry', 'Sara Stewart', 'Gillian Anderson', 'Stephen Rodrick', 'Stuart Wilson', 'Rosie Cavaliero', 'Byron Broadbent', 'Damon Caliendo', 'Andy Callaghan', 'Richard Tree', 'Peter Bach', 'Charlie Bluett', 'James Randle', 'Kay Richardson']",['Comedy'],['gb'],['en'],R,,,,6.7,12081.0,20 Jan 2006 (UK),Tristram Shandy: A Cock and Bull Story,Michael Winterbottom,Laurence Sterne,,Jeff Abberley,Julia Blackman,BBC Films,Baby Cow Productions,Edward Nogria,Peter Christelis,Marcel Zyskind,,Jessica Hurles-Laws,Peter Bach,tt0423409,423409.0
Heights,93,"['Chandler Williams', 'Bess Wohl', 'Glenn Close', 'Elizabeth Banks', 'James Marsden', 'Jesse Bradford', 'Daniel Neiden', 'Thomas Lennon', 'Matthew Davis', 'John Light', 'Isabella Rossellini', 'Susan Malick', 'Rachel Siegel', 'Katie Kreisler', 'Philip Tabor', 'Jordi Vilasuso', 'Nat DeWolf', 'Joel de la Fuente', 'Melanie R. Orr', ""Denis O'Hare"", 'Rufus Wainwright', 'Eric Bogosian', 'George Segal', 'Angel Desai', 'Jonathan Walker', 'Regina Schneider', 'Michael Murphy', 'Jane Nichols', 'Andrew Howard', 'Don Fitzgerald', 'Meghan Glennon', 'Winsome Brown', 'Michael Goldstrom', 'Jim Parsons', 'Steve Glenn', 'Alice Tan Ridley', 'Caroline Clay', 'Cindy Adams', 'Alexander Lange', 'Manny Siverio', 'Frank Shattuck', ""D'Vorah Bailey"", 'Jan Ellis', 'Liza Colón-Zayas', 'Aylam Orian', 'Becca Anderson', 'James Babbin', 'Tomm Bauer', 'Khan Baykal', 'Brendan Bradley', 'Daniel Carnevale', 'Aaron Fiore', 'Brian Hyman', 'Sam Masotto', 'Caroline Memnon', 'Ashley Palmer', 'Andrea Bertola Shaw', 'Jason Stogsdill', 'Lorli Villanueva']","['Drama', 'Romance']",['us'],"['en', 'es', 'he']",R,,"$52,885, 19 Jun 2005",,6.9,4460.0,15 Jul 2005 (USA),Heights,Chris Terrio,Amy Fox,,John P. Adams,Paul Bradley,Merchant Ivory Productions,,Ben Butler,Sloane Klevin,Jim Denault,,David Blazina,Luke DiTommaso,tt0382073,382073.0
